2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:435 | No existing data for 3min, doing full fetch
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:321 | Fetching 3min from 2000-01-01 00:00:00 to 2026-04-01 20:35:56.095743
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:214 | Processing timeframe: 3min
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 3min before 2026-04-01 20:35:56.095743
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 3min before 2026-03-25 20:35:56.095743
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 3min before 2026-03-18 20:35:56.095743
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:244 | Completed 3min: Fetched 0, Inserted 0 new records
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:435 | No existing data for 4min, doing full fetch
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:321 | Fetching 4min from 2000-01-01 00:00:00 to 2026-04-01 20:35:56.136781
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:214 | Processing timeframe: 4min
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 4min before 2026-04-01 20:35:56.136781
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 4min before 2026-03-25 20:35:56.136781
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 4min before 2026-03-18 20:35:56.136781
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:244 | Completed 4min: Fetched 0, Inserted 0 new records
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:435 | No existing data for 5min, doing full fetch
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:321 | Fetching 5min from 2000-01-01 00:00:00 to 2026-04-01 20:35:56.176393
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:214 | Processing timeframe: 5min
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 5min before 2026-04-01 20:35:56.176393
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 5min before 2026-03-25 20:35:56.176393
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 5min before 2026-03-18 20:35:56.176393
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:244 | Completed 5min: Fetched 0, Inserted 0 new records
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:435 | No existing data for 10min, doing full fetch
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:321 | Fetching 10min from 2000-01-01 00:00:00 to 2026-04-01 20:35:56.217744
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:214 | Processing timeframe: 10min
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 10min before 2026-04-01 20:35:56.217744
