timeframe,symbol,timestamp,open,high,low,close,volume,signal,signal_reason,trade_outcome,label,tp_price,sl_price,rr_ratio,demand_zone_strength,demand_zone_fresh,demand_zone_touches,supply_zone_strength,supply_zone_fresh,supply_zone_touches,nearest_demand_dist_atr,nearest_supply_dist_atr,in_demand_zone,in_supply_zone,between_zones,bullish_engulfing,bearish_engulfing,pin_bar_bullish,pin_bar_bearish,higher_low,lower_high,bos_bullish,bos_bearish,buy_confirmation_score,sell_confirmation_score,atr_14,rsi_14,ema_spread_atr,price_above_ema20,price_above_ema50,price_above_ema200,ema_trend_bias,bb_position,bb_width_atr,volume_ratio,body_atr_ratio,momentum_5,momentum_10,htf_1h_bias,htf_4h_bias,htf_aligned,candle_size_atr,body_size_atr,wick_upper_atr,wick_lower_atr,hour,month,day_of_week_int,spread_norm
15min,USTECm,2024-01-04 05:30:00,16390.22,16392.98,16388.48,16389.14,293.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,39.809423867661074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,5.756677131571518,32.0440191389866,-2.830920862310051,0.0,0.0,0.0,-1.0,0.04269812977889153,2.9722254259069696,0.900568618410942,0.18760822872572155,-1.5425565473005542,-1.8309173433048787,-1.0,-1.0,1.0,0.7817009530238398,0.18760822872572155,0.47944325118795506,0.11464947311016317,5,1,3,0.0
15min,USTECm,2024-01-04 05:45:00,16389.16,16391.18,16388.34,16389.09,262.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,42.70288789739319,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.367786847362002,31.936673191179494,-2.988815587024929,0.0,0.0,0.0,-1.0,0.07451186968517444,3.0933528039264764,0.822735123253258,0.013040756272652946,-1.1513124823571286,-1.337609000537885,-1.0,-1.0,1.0,0.5290821116333481,0.013040756272652946,0.3763189667251278,0.13972238863556727,5,1,3,0.0
15min,USTECm,2024-01-04 06:00:00,16389.24,16390.17,16385.49,16387.05,359.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,43.83176813329373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,5.276081934379955,27.58618160345118,-3.0093239724822225,0.0,0.0,0.0,-1.0,0.001586587244792168,3.128719569739771,1.129641283826306,0.4150807412086501,-1.3134746742356465,-1.5428115221178857,1.0,-1.0,0.0,0.8870218579253343,0.4150807412086501,0.1762671640749062,0.29567395264177815,6,1,3,0.0
15min,USTECm,2024-01-04 06:15:00,16386.9,16399.39,16386.75,16398.97,305.0,1,demand rr=7.15,-1,0,16508.64,16383.621031161769,7.145105391498598,1.9287504324943305,1.0,0.0,2.601886446245831,0.0,6.0,0.0,35.04988565561864,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,6.25793767646255,62.25346225908639,-2.39793893673188,1.0,0.0,0.0,-1.0,0.729600438891103,2.60400492939037,0.9791332263242376,1.928750432494377,1.2320352804090289,0.7206847100707183,1.0,-1.0,0.0,2.0198347528358678,1.928750432494377,0.06711476235688801,0.02396955798460286,6,1,3,0.0
15min,USTECm,2024-01-04 06:30:00,16398.77,16405.58,16398.49,16399.22,382.0,0,,0,0,,,,1.9287504324943305,0.0,1.0,2.601886446245831,0.0,6.0,0.03925337370274841,34.400086578140616,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6.368879319600897,62.68576159644259,-2.2262484607797774,1.0,0.0,0.0,-1.0,0.7435495773397129,2.565858319994545,1.249591102387962,0.07065607266494714,1.416261723195231,0.0957782318347975,1.0,-1.0,0.0,1.1132256782099448,0.07065607266494714,0.9986058269979196,0.04396377854707822,6,1,3,0.0
15min,USTECm,2024-01-04 06:45:00,16399.32,16415.36,16399.32,16414.57,361.0,1,demand rr=5.34,-1,0,16516.440000000002,16395.48415229484,5.337462688255007,1.987826573443497,1.0,0.0,2.601886446245831,0.0,6.0,0.0,26.55736302120533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,7.6716954103207,79.4000924885402,-1.6354307842972222,1.0,1.0,0.0,-1.0,1.2981204426946606,3.046087227679376,1.1977438619774388,1.987826573443497,3.3147822795192594,2.1572806419992414,1.0,-1.0,0.0,2.0908025074120453,1.987826573443497,0.10297593396854837,0.0,6,1,3,0.0
15min,USTECm,2024-01-04 07:00:00,16414.8,16418.27,16411.05,16418.05,417.0,0,,0,0,,,,1.987826573443497,0.0,1.0,2.601886446245831,0.0,6.0,0.457204757374999,26.310294457451068,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,7.611469355611429,81.56070771786092,-1.4301950497055582,1.0,1.0,0.0,-1.0,1.1905268132138374,4.022508943285144,1.381480867980785,0.4269872015715325,3.804784417695757,2.9928518313227737,1.0,-1.0,0.0,0.9485684908758353,0.4269872015715325,0.02890374902945759,0.4926775402748452,7,1,3,0.0
15min,USTECm,2024-01-04 07:15:00,16417.83,16427.25,16415.17,16426.97,348.0,1,demand rr=6.02,-1,0,16522.64,16411.066363279235,6.015605215320089,1.113646336400775,1.0,0.0,2.601886446245831,0.0,6.0,0.0,23.31346717800197,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,8.207273441530138,85.92638282893299,-1.084640992969264,1.0,1.0,0.0,-1.0,1.202680546817902,4.96740870983503,1.1683733422863858,1.113646336400846,4.863978309532152,4.019605321429506,1.0,-1.0,0.0,1.471865179838317,1.113646336400846,0.034116080327378215,0.324102763110093,7,1,3,0.0
15min,USTECm,2024-01-04 07:30:00,16427.01,16432.32,16423.34,16430.14,427.0,0,,0,0,,,,1.113646336400775,0.0,1.0,2.601886446245831,0.0,6.0,0.3814541722859104,22.642975267848588,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,8.310303649326062,87.17180092024802,-0.838297287865044,1.0,1.0,0.0,-1.0,1.1073326231594975,5.938536991614234,1.4013784049885134,0.37664087042762057,3.750765473235871,4.678529406462068,1.0,-1.0,0.0,1.0805862672332374,0.37664087042762057,0.26232495128824695,0.44162044551736984,7,1,3,0.0
15min,USTECm,2024-01-04 07:45:00,16430.21,16431.44,16411.81,16415.75,429.0,0,,0,0,,,,1.987826573443497,0.0,2.0,2.601886446245831,0.0,6.0,0.12016787048949314,20.628138852835495,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.819596496082239,59.56352585635535,-0.6175617603074854,1.0,1.0,0.0,-1.0,0.7864193533238194,5.210802798210091,1.3712641841137925,1.4725655993878324,1.6833685586361793,2.6019399076319534,1.0,-1.0,0.0,1.9990638116170918,1.4725655993878324,0.12525972940850855,0.401238482820751,7,1,3,0.0
