timeframe,symbol,timestamp,open,high,low,close,volume,signal,signal_reason,trade_outcome,label,tp_price,sl_price,rr_ratio,demand_zone_strength,demand_zone_fresh,demand_zone_touches,supply_zone_strength,supply_zone_fresh,supply_zone_touches,nearest_demand_dist_atr,nearest_supply_dist_atr,in_demand_zone,in_supply_zone,between_zones,bullish_engulfing,bearish_engulfing,pin_bar_bullish,pin_bar_bearish,higher_low,lower_high,bos_bullish,bos_bearish,buy_confirmation_score,sell_confirmation_score,atr_14,rsi_14,ema_spread_atr,price_above_ema20,price_above_ema50,price_above_ema200,ema_trend_bias,bb_position,bb_width_atr,volume_ratio,body_atr_ratio,momentum_5,momentum_10,candle_size_atr,body_size_atr,wick_upper_atr,wick_lower_atr,hour,month,day_of_week_int,spread_norm
1H,USTECm,2024-01-15 04:00:00,16854.44,16861.27,16851.3,16861.27,1053.0,0,,0,0,,,,1.1661417282175768,0.0,6.0,1.2018471514451765,0.0,2.0,1.1320530316490753,0.1141298184539937,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,31.36778844032968,64.02501936299979,0.8685915916027125,1.0,1.0,1.0,1.0,0.8898304087316983,3.698279717405131,0.35464695283161846,0.21773929051429855,1.483050043151576,2.2615556762934195,0.31784198044327333,0.21773929051429855,0.0,0.10010268992897474,4,1,0,0.0
1H,USTECm,2024-01-15 05:00:00,16860.94,16860.94,16849.3,16851.3,1172.0,0,,0,0,,,,1.1661417282175768,0.0,6.0,0.33493834295239744,1.0,0.0,0.8873781409756265,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.78141664828588,58.70703208856948,0.9616903584117592,1.0,1.0,1.0,1.0,0.7751932024534276,4.018710947175396,0.40231364673978337,0.3349383429524177,0.9040555688404621,1.2282230729634314,0.40442762572262886,0.3349383429524177,0.0,0.06948928277021114,5,1,0,0.0
1H,USTECm,2024-01-15 06:00:00,16851.01,16880.97,16850.79,16876.68,1294.0,0,,0,0,,,,1.1661417282175768,0.0,6.0,,,,1.7578081184208862,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,28.96789442851447,66.80557805621919,1.0140086172452942,1.0,1.0,1.0,1.0,0.9318893357669312,4.366104135605881,0.45621209984487376,0.8861534642549582,1.6953251511321197,1.2172096279560434,1.0418430678307222,0.8861534642549582,0.14809498876719013,0.007594614808573853,6,1,0,0.0
1H,USTECm,2024-01-15 07:00:00,16876.59,16890.8,16863.43,16866.15,1600.0,0,,0,0,,,,1.1661417282175768,0.0,6.0,0.36306928964517726,1.0,0.0,1.4046330085030325,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.75484183804574,61.071613462270825,1.0484287606741718,1.0,1.0,1.0,1.0,0.8136446975234088,4.460015038469525,0.5730145939654401,0.36306928964522284,0.5612967753711692,1.8268227763471698,0.9518396990028496,0.36306928964522284,0.49417764423933114,0.0945927651182956,7,1,0,0.0
1H,USTECm,2024-01-15 08:00:00,16865.94,16890.96,16837.53,16837.85,2415.0,0,,0,0,,,,1.1661417282175768,0.0,6.0,0.8765835592618634,1.0,0.0,0.3772835611063012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32.044862926306344,48.23359760655185,0.908786658811428,1.0,1.0,1.0,1.0,0.5755032819313233,3.81918963896252,0.865420795183745,0.8765835592618588,-0.542676685495422,0.03744749986157634,1.6673499313407305,0.8765835592618588,0.7807803721157603,0.009985999963111244,8,1,0,0.0
1H,USTECm,2024-01-15 09:00:00,16837.55,16853.39,16823.71,16830.64,2215.0,0,,0,0,,,,1.1661417282175768,0.0,6.0,0.8765835592618634,0.0,1.0,0.15379985936380816,0.22723298893702687,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,31.729547869465538,45.426457310475634,0.8735656968764827,0.0,1.0,1.0,1.0,0.48481348059771073,3.2519724933089926,0.8012008970556319,0.217778079549937,-0.9653462484247166,0.5007950338709656,0.9354057020321462,0.217778079549937,0.4992192156397977,0.21840840684241147,9,1,0,0.0
1H,USTECm,2024-01-15 10:00:00,16831.43,16843.11,16825.7,16838.86,1934.0,0,,0,0,,,,1.1661417282175768,0.0,7.0,1.2018471514451765,0.0,2.0,0.43929843299521976,0.8715546773696919,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,29.820274820203448,49.30745195604369,0.9005373249385898,1.0,1.0,1.0,1.0,0.5381506052419603,2.878272584054169,0.7082692448546107,0.24915934024075867,-0.4171658401877136,0.4553948641278517,0.5838309708737024,0.24915934024075867,0.14252048398697503,0.1921511466459687,10,1,0,0.0
1H,USTECm,2024-01-15 11:00:00,16839.62,16841.46,16816.94,16838.34,1808.0,0,,0,0,,,,1.1661417282175768,0.0,8.0,1.2018471514451765,0.0,2.0,0.43210088447294953,0.9105718956578386,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,29.113571510843048,49.05282501475103,0.8921665351704187,1.0,1.0,1.0,1.0,0.5249020641431863,2.9317725619189674,0.6844466317124415,0.04396574977148637,-1.3169115986240578,0.36993056643666206,0.8422188940600359,0.04396574977148637,0.06320076529651167,0.7350523789920378,11,1,0,0.0
1H,USTECm,2024-01-15 12:00:00,16838.23,16850.47,16830.38,16832.11,1874.0,0,,0,0,,,,1.1661417282175768,0.0,9.0,0.8765835592618634,0.0,2.0,0.22751352482922385,0.2056578948848555,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,27.91042864273066,45.78437608798167,0.8872331392112696,0.0,1.0,1.0,1.0,0.4596375188190052,3.043849134464519,0.7571105365223013,0.21927287747312935,-1.2196158086904436,-0.6413373377072772,0.7198026320972497,0.21927287747312935,0.4385457549462587,0.06198399967786172,12,1,0,0.0
1H,USTECm,2024-01-15 13:00:00,16831.89,16838.74,16821.25,16829.69,1748.0,0,,0,0,,,,1.1661417282175768,0.0,9.0,0.8765835592618634,0.0,3.0,0.14818424439987632,0.3076802631813943,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.521038157033455,44.4567059556815,0.8854183401455958,0.0,1.0,1.0,1.0,0.41340842069741557,3.0461590809140304,0.7947441405805997,0.08295301213224016,-0.3076802631813943,-0.9633861181722623,0.6594764464513091,0.08295301213224016,0.25828551504811137,0.3182379192709576,13,1,0,0.0
1H,USTECm,2024-01-15 14:00:00,16830.33,16835.44,16805.87,16821.97,2317.0,0,,0,0,,,,1.2240528544172684,0.0,7.0,0.3104625154370799,1.0,0.0,1.0179159746566653,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.92756640276229,40.169100339593626,0.8113843320185299,0.0,1.0,1.0,1.0,0.26615621251042376,2.5882012800485334,1.1187291777316402,0.3104625154370583,-0.32197488144004227,-1.4594709158703547,1.0981311700327527,0.3104625154370583,0.1897683557276756,0.597900298868019,14,1,0,0.0
1H,USTECm,2024-01-15 15:00:00,16822.87,16845.26,16809.93,16844.45,2017.0,0,,0,0,,,,1.1661417282175768,0.0,10.0,1.2018471514451765,0.0,2.0,0.6663602649614714,0.7273274160091422,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.047890882393737,54.81201267709275,0.7703368496795456,1.0,1.0,1.0,1.0,0.5714319344756027,2.374576558588211,1.0235461280828175,0.7693983155626944,0.199301973308414,-0.2442251372383382,1.2596312552747913,0.7693983155626944,0.0288791768121308,0.46135376289996605,15,1,0,0.0
1H,USTECm,2024-01-15 16:00:00,16844.5,16847.98,16830.7,16831.3,1636.0,0,,0,0,,,,1.1661417282175768,0.0,11.0,0.49601362682288686,1.0,0.0,0.20817541610599052,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.61217209807442,47.04133461655779,0.7732673033740473,0.0,1.0,1.0,1.0,0.3822818131761231,2.5174474873207435,0.865539771975769,0.4960136268228595,-0.26454060097222454,-1.705234726153172,0.6493269296590162,0.4960136268228595,0.13076722888966297,0.022546073946493612,16,1,0,0.0
1H,USTECm,2024-01-15 17:00:00,16831.5,16842.4,16824.34,16838.63,1217.0,0,,0,0,,,,1.1661417282175768,0.0,11.0,1.2018471514451765,0.0,2.0,0.5052630094215679,1.029370326886524,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.47188248499801,51.46669984304717,0.7859053314319946,1.0,1.0,1.0,1.0,0.4711084479384453,2.455422534525672,0.6826723509283671,0.27991649239899347,0.2559685175934866,-1.0804069945049681,0.709017090143874,0.27991649239899347,0.14800633609315644,0.2810942616517242,17,1,0,0.0
1H,USTECm,2024-01-15 23:00:00,16826.04,16833.9,16804.97,16807.37,1391.0,0,,0,0,,,,1.2240528544172684,0.0,7.0,0.7028406492214758,1.0,0.0,0.48223828154925313,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.563631486998258,36.47036564239212,0.6665432323166768,0.0,0.0,1.0,1.0,0.04310630415443714,2.6039083764613595,0.8296552546820948,0.7028406492214047,-0.8402465608260067,-1.1474334755365883,1.089083019923687,0.7028406492214047,0.29589327814034494,0.09034909256193738,23,1,0,0.0
1H,USTECm,2024-01-16 00:00:00,16807.96,16808.5,16763.06,16764.32,2402.0,0,,0,0,,,,2.0435293437256563,0.0,7.0,1.5006629555801536,1.0,0.0,2.631662144604696,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,29.080480622064982,24.92829998949385,0.4545161308839795,0.0,0.0,1.0,1.0,-0.2656120480543386,3.2397733193523255,1.395740724599785,1.5006629555801736,-1.9824294085517689,-2.280567534694699,1.5625601443987873,1.5006629555801736,0.018569156645584183,0.04332803217302976,0,1,1,0.0
