timeframe,symbol,timestamp,open,high,low,close,volume,signal,signal_reason,trade_outcome,label,tp_price,sl_price,rr_ratio,demand_zone_strength,demand_zone_fresh,demand_zone_touches,supply_zone_strength,supply_zone_fresh,supply_zone_touches,nearest_demand_dist_atr,nearest_supply_dist_atr,in_demand_zone,in_supply_zone,between_zones,bullish_engulfing,bearish_engulfing,pin_bar_bullish,pin_bar_bearish,higher_low,lower_high,bos_bullish,bos_bearish,buy_confirmation_score,sell_confirmation_score,atr_14,rsi_14,ema_spread_atr,price_above_ema20,price_above_ema50,price_above_ema200,ema_trend_bias,bb_position,bb_width_atr,volume_ratio,body_atr_ratio,momentum_5,momentum_10,candle_size_atr,body_size_atr,wick_upper_atr,wick_lower_atr,hour,month,day_of_week_int,spread_norm
4H,USTECm,2024-02-15 04:00:00,17809.11,17858.93,17802.43,17845.35,5145.0,0,,0,0,,,,1.3767726801912779,0.0,5.0,1.8613571356624847,0.0,2.0,2.2033468644939562,0.46352763616461035,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,86.44576261202653,61.930006606412256,0.5332024054444072,1.0,1.0,1.0,1.0,0.5898504429442276,6.416606212335685,0.5968885228024177,0.4192223991665985,1.4351195044317668,2.0837342925463105,0.6535890053232013,0.4192223991665985,0.15709272021750573,0.07727388593909706,4,2,3,0.0
4H,USTECm,2024-02-15 08:00:00,17845.36,17861.68,17816.68,17836.21,7684.0,0,,0,0,,,,1.3767726801912779,0.0,5.0,1.8613571356624847,0.0,2.0,2.240864555227323,0.6081340360819266,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,80.91966093042299,60.2661948123987,0.5929297520044108,1.0,1.0,1.0,1.0,0.587831721720566,6.602354373861043,0.8673518339795578,0.113075115426737,1.9393309140893846,3.961212841408347,0.5561071250495262,0.113075115426737,0.20168151735129483,0.24135049227149438,8,2,3,0.0
4H,USTECm,2024-02-15 12:00:00,17835.24,17868.8,17733.06,17782.82,14711.0,0,,0,0,,,,1.3767726801912779,0.0,5.0,0.5941354492023451,1.0,0.0,1.45008945766777,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.229039473033,51.026448523986986,0.5264640297328786,1.0,1.0,1.0,1.0,0.5057275735511603,5.739719165923248,1.5615529549133562,0.5941354492023236,0.5783809990994636,1.8020144042097714,1.5384957244319613,0.5941354492023236,0.38037362982125106,0.5639866454083865,12,2,3,0.0
4H,USTECm,2024-02-15 16:00:00,17783.47,17867.56,17717.1,17843.42,14920.0,0,,0,0,,,,1.3767726801912779,0.0,5.0,1.8613571356624847,0.0,2.0,1.953245982064254,0.4351136694955971,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,96.52650087662897,59.21563232203436,0.5008020353675953,1.0,1.0,1.0,1.0,0.6475841752767869,4.927738612391788,1.5111003078917518,0.6210729639585963,0.2925621434893994,2.3883596515598513,1.558742921721608,0.6210729639585963,0.2500867614672313,0.6875831962957805,16,2,3,0.0
4H,USTECm,2024-02-15 20:00:00,17843.63,17903.81,17809.58,17889.53,6718.0,0,,0,0,,,,1.3767726801912779,0.0,5.0,,,,2.438674563966511,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,96.22030075974504,64.43661775623116,0.54445212525817,1.0,1.0,1.0,1.0,0.7816374617682086,4.5180047201524784,0.6923667544406598,0.47703031104224974,0.8359982183058376,2.235494987041116,0.979315167963207,0.47703031104224974,0.14840943010203325,0.3538754268189238,20,2,3,0.0
4H,USTECm,2024-02-16 00:00:00,17890.36,17891.39,17849.9,17880.39,5426.0,0,,0,0,,,,1.3767726801912779,0.0,5.0,1.8613571356624847,0.0,2.0,2.536016377143195,0.05656583910703476,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,88.9229273251121,62.60363951136045,0.6207324462004055,1.0,1.0,1.0,1.0,0.7618725076316618,4.876050349096791,0.585761862865224,0.11211956578474495,0.3940491058272378,1.7891898612189325,0.4665838299306989,0.11211956578474495,0.011583064469236438,0.3428811996767175,0,2,4,0.0
4H,USTECm,2024-02-16 04:00:00,17880.41,17912.47,17870.16,17903.37,5188.0,0,,0,0,,,,1.3767726801912779,0.0,5.0,,,,3.004429916441597,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,82.70787034843066,65.45445044194503,0.7099840340899957,1.0,1.0,1.0,1.0,0.8070362671556912,5.321486162141974,0.5638885265858007,0.27760356908326145,0.8120146210641026,2.709415670551746,0.5115595386721599,0.27760356908326145,0.11002580481958532,0.12393016476931314,4,2,4,0.0
4H,USTECm,2024-02-16 08:00:00,17902.37,17963.47,17902.37,17953.02,7603.0,0,,0,0,,,,1.3767726801912779,0.0,5.0,,,,3.734834938712179,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,79.8268209686402,70.9712216396401,0.806079252743615,1.0,1.0,1.0,1.0,0.889789247263563,5.79779238166674,0.8117486280455254,0.634498522995144,2.1321154711505224,2.7713742989578565,0.765406905330766,0.634498522995144,0.130908382335622,0.0,8,2,4,0.0
4H,USTECm,2024-02-16 12:00:00,17952.71,17954.82,17657.17,17747.46,16765.0,0,,0,0,,,,1.3767726801912779,0.0,5.0,1.8852775496965115,1.0,0.0,0.8503726945232617,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,108.86991150615503,40.258523459060946,0.527974840383397,0.0,0.0,1.0,1.0,0.4599722092927449,4.129585803986094,1.682219546457957,1.8852775496965115,-0.8814189216510382,-0.6220267754711325,2.7339968948461224,1.8852775496965115,0.01938092876910908,0.829338416380502,12,2,4,0.0
4H,USTECm,2024-02-16 16:00:00,17747.47,17841.68,17708.48,17729.48,15387.0,0,,0,0,,,,1.3767726801912779,0.0,5.0,1.8852775496965115,0.0,1.0,0.6653946075620835,0.1603725877207266,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,112.11392330533445,38.57380565985681,0.44856141201227606,0.0,0.0,1.0,1.0,0.4256285253406578,4.018372193125789,1.4987216012857039,0.16046178270833933,-1.4275657766797998,-0.7100812963541406,1.1880772349500166,0.16046178270833933,0.8403059782630711,0.18730947397860626,16,2,4,0.0
